 i       N       l      Delta     Sigma2     omega2
---------------------------------------------
       1       0       0       0       1       1
       2       1       1       0       1       1
       3       1       1       1      -1       1
       4       1       1       1       1       3
       5       2       2       0       1       1
       6       2       2       1      -1       1
       7       2       0       0       1       1
       8       2       2       1       1       3
       9       2       2       2      -1       3
      10       2       2       2       1       5
      11       3       3       0       1       1
      12       3       3       1      -1       1
      13       3       1       0       1       1
      14       3       1       1      -1       1
      15       3       3       1       1       3
      16       3       3       2      -1       3
      17       3       1       1       1       3
      18       3       3       2       1       5
      19       3       3       3      -1       5
      20       3       3       3       1       7
      21       4       4       0       1       1
      22       4       4       1      -1       1
      23       4       2       0       1       1
      24       4       2       1      -1       1
      25       4       0       0       1       1
      26       4       4       1       1       3
      27       4       4       2      -1       3
      28       4       2       1       1       3
      29       4       2       2      -1       3
      30       4       4       2       1       5
      31       4       4       3      -1       5
      32       4       2       2       1       5
      33       4       4       3       1       7
      34       4       4       4      -1       7
      35       4       4       4       1       9
      36       5       5       0       1       1
      37       5       5       1      -1       1
      38       5       3       0       1       1
      39       5       3       1      -1       1
      40       5       1       0       1       1
      41       5       1       1      -1       1
      42       5       5       1       1       3
      43       5       5       2      -1       3
      44       5       3       1       1       3
      45       5       3       2      -1       3
      46       5       1       1       1       3
      47       5       5       2       1       5
      48       5       5       3      -1       5
      49       5       3       2       1       5
      50       5       3       3      -1       5
      51       5       5       3       1       7
      52       5       5       4      -1       7
      53       5       3       3       1       7
      54       5       5       4       1       9
      55       5       5       5      -1       9
      56       5       5       5       1      11
      57       6       6       0       1       1
      58       6       6       1      -1       1
      59       6       4       0       1       1
      60       6       4       1      -1       1
      61       6       2       0       1       1
      62       6       2       1      -1       1
      63       6       0       0       1       1
      64       6       6       1       1       3
      65       6       6       2      -1       3
      66       6       4       1       1       3
      67       6       4       2      -1       3
      68       6       2       1       1       3
      69       6       2       2      -1       3
      70       6       6       2       1       5
      71       6       6       3      -1       5
      72       6       4       2       1       5
      73       6       4       3      -1       5
      74       6       2       2       1       5
      75       6       6       3       1       7
      76       6       6       4      -1       7
      77       6       4       3       1       7
      78       6       4       4      -1       7
      79       6       6       4       1       9
      80       6       6       5      -1       9
      81       6       4       4       1       9
      82       6       6       5       1      11
      83       6       6       6      -1      11
      84       6       6       6       1      13
      85       7       7       0       1       1
      86       7       7       1      -1       1
      87       7       5       0       1       1
      88       7       5       1      -1       1
      89       7       3       0       1       1
      90       7       3       1      -1       1
      91       7       1       0       1       1
      92       7       1       1      -1       1
      93       7       7       1       1       3
      94       7       7       2      -1       3
      95       7       5       1       1       3
      96       7       5       2      -1       3
      97       7       3       1       1       3
      98       7       3       2      -1       3
      99       7       1       1       1       3
     100       7       7       2       1       5
     101       7       7       3      -1       5
     102       7       5       2       1       5
     103       7       5       3      -1       5
     104       7       3       2       1       5
     105       7       3       3      -1       5
     106       7       7       3       1       7
     107       7       7       4      -1       7
     108       7       5       3       1       7
     109       7       5       4      -1       7
     110       7       3       3       1       7
     111       7       7       4       1       9
     112       7       7       5      -1       9
     113       7       5       4       1       9
     114       7       5       5      -1       9
     115       7       7       5       1      11
     116       7       7       6      -1      11
     117       7       5       5       1      11
     118       7       7       6       1      13
     119       7       7       7      -1      13
     120       7       7       7       1      15
