 i    Eigen_energy   j^2   j
-----------------------------------------
    1       1.500000       0.750000       0.500000
    2       2.450000       3.583333       1.457890
    3       2.450000       4.250000       1.621320
    4       2.600000       0.416667       0.316497
    5       3.400000       8.950000       2.533150
    6       3.400000       8.550000       2.466479
    7       3.400000       9.750000       2.662278
    8       3.500000       0.750000       0.500000
    9       3.650000       3.450000       1.423538
   10       3.650000       3.050000       1.316590
   11       4.140000      16.392857       3.579566
   12       4.140000      15.535714       3.473124
   13       4.140000      15.821429       3.508919
   14       4.140000      17.250000       3.683300
   15       4.415000       4.250000       1.621320
   16       4.415000       3.583333       1.457890
   17       4.490000       8.178571       2.403200
   18       4.490000       7.607143       2.303060
   19       4.490000       8.464286       2.451997
   20       4.565000       0.416667       0.316497
   21       4.850000      24.750000       4.500000
   22       4.850000      25.194444       4.544249
   23       4.850000      25.861111       4.609903
   24       4.850000      24.527778       4.477728
   25       4.850000      26.750000       4.696152
   26       5.265000       8.550000       2.466479
   27       5.265000       8.950000       2.533150
   28       5.265000       9.750000       2.662278
   29       5.300000      15.472222       3.465126
   30       5.300000      14.805556       3.380149
   31       5.300000      15.250000       3.437004
   32       5.300000      14.138889       3.293269
   33       5.500000       0.750000       0.500000
   34       5.515000       3.450000       1.423538
   35       5.515000       3.050000       1.316590
   36       5.575000      35.704545       5.496211
   37       5.575000      36.068182       5.526457
   38       5.575000      37.340909       5.631143
   39       5.575000      35.522727       5.481031
   40       5.575000      36.613636       5.571543
   41       5.575000      38.250000       5.704837
   42       6.080000      15.821429       3.508919
   43       6.080000      15.535714       3.473124
   44       6.080000      17.250000       3.683300
   45       6.080000      16.392857       3.579566
   46       6.125000      23.386364       4.361724
   47       6.125000      23.931818       4.417501
   48       6.125000      24.477273       4.472652
   49       6.125000      24.295455       4.454337
   50       6.125000      22.659091       4.286344
   51       6.255000      48.673077       6.494503
   52       6.255000      49.442308       6.549277
   53       6.255000      50.826923       6.646812
   54       6.255000      48.519231       6.483497
   55       6.255000      50.057692       6.592792
   56       6.255000      51.750000       6.711103
   57       6.255000      48.980769       6.516464
   58       6.405000       4.250000       1.621320
   59       6.405000       3.583333       1.457890
   60       6.430000       7.607143       2.303060
   61       6.430000       8.464286       2.451997
   62       6.430000       8.178571       2.403200
   63       6.555000       0.416667       0.316497
   64       6.850000      24.750000       4.500000
   65       6.850000      25.861111       4.609903
   66       6.850000      25.194444       4.544249
   67       6.850000      24.527778       4.477728
   68       6.850000      26.750000       4.696152
   69       6.905000      34.557692       5.399804
   70       6.905000      35.326923       5.464639
   71       6.905000      33.173077       5.281269
   72       6.905000      35.019231       5.438790
   73       6.905000      33.942308       5.347419
   74       6.905000      35.480769       5.477522
   75       7.030000      63.516667       7.485403
   76       7.030000      63.650000       7.493748
   77       7.030000      63.916667       7.510410
   78       7.030000      64.316667       7.535339
   79       7.030000      64.850000       7.568457
   80       7.030000      65.516667       7.609665
   81       7.030000      66.316667       7.658840
   82       7.030000      67.250000       7.715838
   83       7.265000       8.950000       2.533150
   84       7.265000       9.750000       2.662278
   85       7.265000       8.550000       2.466479
   86       7.300000      15.250000       3.437004
   87       7.300000      14.138889       3.293269
   88       7.300000      14.805556       3.380149
   89       7.300000      15.472222       3.465126
   90       7.500000       0.750000       0.500000
   91       7.515000       3.450000       1.423538
   92       7.515000       3.050000       1.316590
   93       7.650000      35.704545       5.496211
   94       7.650000      36.613636       5.571543
   95       7.650000      38.250000       5.704837
   96       7.650000      36.068182       5.526457
   97       7.650000      35.522727       5.481031
   98       7.650000      37.340909       5.631143
   99       7.780000      48.350000       6.471370
  100       7.780000      47.683333       6.423390
  101       7.780000      46.483333       6.336178
  102       7.780000      48.083333       6.452218
  103       7.780000      47.150000       6.384766
  104       7.780000      48.483333       6.480926
  105       7.780000      45.683333       6.277413
  106       8.110000      17.250000       3.683300
  107       8.110000      15.821429       3.508919
  108       8.110000      15.535714       3.473124
  109       8.110000      16.392857       3.579566
  110       8.200000      23.931818       4.417501
  111       8.200000      22.659091       4.286344
  112       8.200000      24.477273       4.472652
  113       8.200000      24.295455       4.454337
  114       8.200000      23.386364       4.361724
  115       8.410000       4.250000       1.621320
  116       8.410000       3.583333       1.457890
  117       8.460000       7.607143       2.303060
  118       8.460000       8.178571       2.403200
  119       8.460000       8.464286       2.451997
  120       8.560000       0.416667       0.316497
