0.000000 0.500000 
0 0.500000 0.500000
1.000000 0.500000 
1 0.500000 0.500000
1 1.000000 0.500000
1.000000 1.500000 
1 1.500000 0.500000
1 1.500000 1.500000
2.000000 0.500000 
2 0.500000 0.500000
2 1.000000 0.500000
2.000000 1.500000 
2 1.500000 0.500000
2 1.500000 1.500000
2 2.000000 0.500000
2 2.000000 1.500000
2.000000 2.500000 
2 2.500000 0.500000
2 2.500000 1.500000
2 2.500000 2.500000
3.000000 0.500000 
3 0.500000 0.500000
3 1.000000 0.500000
3.000000 1.500000 
3 1.500000 0.500000
3 1.500000 1.500000
3 2.000000 0.500000
3.000000 2.500000 
3 2.500000 0.500000
3 2.500000 1.500000
3 2.500000 2.500000
3 3.000000 0.500000
3 3.000000 2.500000
3.000000 3.500000 
3 3.500000 0.500000
3 3.500000 1.500000
3 3.500000 2.500000
3 3.500000 3.500000
4.000000 0.500000 
4 0.500000 0.500000
4 1.000000 0.500000
4.000000 1.500000 
4 1.500000 0.500000
4 1.500000 1.500000
4 2.000000 0.500000
4 2.000000 1.500000
4.000000 2.500000 
4 2.500000 0.500000
4 2.500000 1.500000
4 2.500000 2.500000
4 3.000000 0.500000
4.000000 3.500000 
4 3.500000 0.500000
4 3.500000 1.500000
4 3.500000 2.500000
4 3.500000 3.500000
4.000000 4.500000 
4 4.500000 0.500000
4 4.500000 1.500000
4 4.500000 2.500000
4 4.500000 3.500000
4 4.500000 4.500000
5.000000 0.500000 
5 0.500000 0.500000
5 1.000000 0.500000
5.000000 1.500000 
5 1.500000 0.500000
5 1.500000 1.500000
5 2.000000 0.500000
5.000000 2.500000 
5 2.500000 0.500000
5 2.500000 1.500000
5 2.500000 2.500000
5 3.000000 0.500000
5 3.000000 1.500000
5 3.000000 2.500000
5.000000 3.500000 
5 3.500000 0.500000
5 3.500000 1.500000
5 3.500000 2.500000
5 3.500000 3.500000
5 4.000000 2.500000
5.000000 4.500000 
5 4.500000 0.500000
5 4.500000 1.500000
5 4.500000 2.500000
5 4.500000 3.500000
5 4.500000 4.500000
5.000000 5.500000 
5 5.500000 0.500000
5 5.500000 1.500000
5 5.500000 2.500000
5 5.500000 3.500000
5 5.500000 4.500000
5 5.500000 5.500000
6.000000 0.500000 
6 0.500000 0.500000
6 1.000000 0.500000
6.000000 1.500000 
6 1.500000 0.500000
6 1.500000 1.500000
6 2.000000 0.500000
6 2.000000 1.500000
6.000000 2.500000 
6 2.500000 0.500000
6 2.500000 1.500000
6 2.500000 2.500000
6 3.000000 0.500000
6 3.000000 1.500000
6 3.000000 2.500000
6.000000 3.500000 
6 3.500000 0.500000
6 3.500000 1.500000
6 3.500000 2.500000
6 3.500000 3.500000
6 4.000000 1.500000
6 4.000000 2.500000
6 4.000000 3.500000
6.000000 4.500000 
6 4.500000 0.500000
6 4.500000 1.500000
6 4.500000 2.500000
6 4.500000 3.500000
6 4.500000 4.500000
6 5.000000 1.500000
6 5.000000 2.500000
6 5.000000 3.500000
6.000000 5.500000 
6 5.500000 0.500000
6 5.500000 1.500000
6 5.500000 2.500000
6 5.500000 3.500000
6 5.500000 4.500000
6 5.500000 5.500000
6.000000 6.500000 
6 6.500000 0.500000
6 6.500000 1.500000
6 6.500000 2.500000
6 6.500000 3.500000
6 6.500000 4.500000
6 6.500000 5.500000
6 6.500000 6.500000
7.000000 0.500000 
7 0.500000 0.500000
7 1.000000 0.500000
7.000000 1.500000 
7 1.500000 0.500000
7 1.500000 1.500000
7 2.000000 0.500000
7 2.000000 1.500000
7.000000 2.500000 
7 2.500000 0.500000
7 2.500000 1.500000
7 2.500000 2.500000
7 3.000000 0.500000
7 3.000000 1.500000
7 3.000000 2.500000
7.000000 3.500000 
7 3.500000 0.500000
7 3.500000 1.500000
7 3.500000 2.500000
7 3.500000 3.500000
7 4.000000 2.500000
7 4.000000 3.500000
7.000000 4.500000 
7 4.500000 0.500000
7 4.500000 1.500000
7 4.500000 2.500000
7 4.500000 3.500000
7 4.500000 4.500000
7 5.000000 3.500000
7 5.000000 4.500000
7.000000 5.500000 
7 5.500000 0.500000
7 5.500000 1.500000
7 5.500000 2.500000
7 5.500000 3.500000
7 5.500000 4.500000
7 5.500000 5.500000
7 6.000000 4.500000
7.000000 6.500000 
7 6.500000 0.500000
7 6.500000 1.500000
7 6.500000 2.500000
7 6.500000 3.500000
7 6.500000 4.500000
7 6.500000 5.500000
7 6.500000 6.500000
7.000000 7.500000 
7 7.500000 0.500000
7 7.500000 1.500000
7 7.500000 2.500000
7 7.500000 3.500000
7 7.500000 4.500000
7 7.500000 5.500000
7 7.500000 6.500000
7 7.500000 7.500000
